46 is my number|Sapphire respawn, level 46 wilderness.
'A bag belt only?'|Speak with Abbot Langley in the Monastery Northwest of Barbarian Village.
Aggie I see|Dig under the Southern window in Aggie the witch's house in Draynor Village.
A great view - watch the rapidly drying hides get splashed. |House Northeast of Baxtorian Falls, upstairs in one of the boxes.
A town with a different sort of nightlife is your destination.|Clothes shop in Canifis, search the boxes. You must have completed the Priest in Peril Quest to enter Canifis.
And so on, and so on, and so on.|On Etceteria island (East of Miscellania), dig where the 3 roads meet. You must have completed the Fremennik Trials Quest to take the boat to Etceteria.
A crate in the tower of a church is your next location.|Church in East Ardougne, go up the ladder.
Beware of dog|Go kill a guard dog to get the key for the drawers.
Barbarians rule ok|Go kill a male barbarian in Barbarian Village to get the key for the chest.
Come to the evil ledge Yew know you want to And try not to get stung|Edgeville, dig East of the yew tree to the South.
Citric Cellar|Speak to Heckel Funch, Grand Tree, owner of the gnome cocktail ingredients shop (upstairs to the East).
Covered in shadows, the center of the circle is where you will find the answer.|Mort'ton, dig a few steps South of the Mort'ton General Store. You must have at least started the Nature Spirit Quest to enter Mort Myre Swamp to get to Mort'ton.
Don't forget to feed the chickens|Kill some chickens to get the key for the drawers.
Dig near some giant mushrooms behind the Grand Tree.|Gnome Stronghold, dig on the West side of the bigger mushroom on the Northwest side of the Grand Tree.
Find a bar with a centre fountain in its city. Go upstairs and get changed.|Blue Moon Inn in Varrock. Go upstairs and search the drawers. Go to Handlemort Mansion in Ardougne (Southeast of the North bank) and kill a guard dog for the key to the drawers.
Find a crate close to the monks who like to paaarty.|Monastery Southeast of the Clocktower. Search the crate inside against the South wall, in the East room.
Four blades I have yet draw no blood; Still I turn my prey to powder.|Top of the windmill between Lumbridge and Draynor Village, search crate.
Generally speaking, his nose was very bent|Speak with General Bentnoze in the Goblin Village north of Falador.
Go the the village being attacked by trolls, search the drawers in one of the houses|Dunstan's house (blacksmith) to the East of the Castle in Burthope. Go to the pub just to the Southwest, and kill Penda for the key to the drawers.
Go to this building to be illuminated, and search the drawers while you are there.|Search the drawers to the East in the Lighthouse. Go to the marketplace in Rellekka and kill a Fremennik guard for the key.
His head might be hollow, but the crates nearby are filled with surprises.|Search the crates to the West of the Golem at the ruins of Uzer, in the desert Southeast of the Shantay Pass.
I am a token of the greatest love.|Downstairs the West bank in Varrock, dig by the gate.
Identify the back of this over-acting brother.|Dueling Arena monk.
If a man carried my burden he would break his back|It's a snail, talk to Gerrant at the fish shop in Port Sarim.
If you look closely enough, it seems that the archers have lost more than their needles.|Search the haystack near the Southeast fence in the Ranger's Guild in Hemenster.
I lie lonely and forgotten in mid wilderness|Go to the Graveyard of Shadows in the wilderness (level 20) and pick up the crossbow. Dig in the exact spot where the crossbow was.
I'm guarding the key at the market|Kill a Fremennik guard in Rellekka's marketplace to get the key for the drawers.
In a village made of bamboo look for some crates under one of the houses.|Tai Bwo Wannai Village
In a town where everyone has perfect vision, seek some locked drawers in a house that sits opposite a workshop.|Seers Village, house across the street (South) from the anvil house where you make the shield for the Elemental Workshop quest.
In a town where the guards are armed with maces, search the upstairs room of the Public House.|Drawers in the Ardougne Tavern's second floor, North of the Ardougne Castle. Go kill a guard dog for the key to the drawers.
In a town where thieves steal from stalls, search for some drawers upstairs of a house near the bank.|House south of the North bank in Ardougne, second floor, search the drawers. Go kill a guard for the key to the drawers.
In a town where wizards are known to gather, search upstairs in a large house to the north.|House north of the Magic Guild in Yanille, second floor. Go downstairs and kill the level 2 man to get the key for the chest.
It's a guard's life|Kill a guard to get the key for the drawers.
It seems to have reached the end of the line, and its still empty.|Dwarven Mine. Search one of the empty carts to the Southeast, where the scorpions are.
Mine was the strangest birth under the sun.|Dig at Red spiders eggs in the Karamja Volcano (dig)
Must be full of railings.|Search the boxes in the Northwest corner of Captain Lawgof's hut, at the Dwarf Cannon quest start.
My Giant guardians below the market streets would be fans of rock and roll|Dig beside the cauldron (big pot) in the Varrock sewers at the Moss Giants.
My home is grey and made of stone|Drawers on the second floor of Lumbridge Castle, in the room with the spinning wheel.
My name is like a tree, yet it is spelled with a "g" come see the fur which is right near me.|Speak with Wilough (the child near Baerek the fur merchant) in Varrock Market.
Often sought out by scholars of histories past|Examiner at the digsite.
One of the sailors in Port Sarim is your next destination.|Speak to Captain Tobias in Port Sarim, East of the Fishing Shop.
One of the wizards might have the key...|Kill a wizard in the Wizards' Tower South of Draynor village to get the key for the drawers.
Property of Black Heather|Kill Black Heather in the Bandit Camp (wild) to get the key for the chest.
Property of the Clocktower Monastery|Kill a monk at the Monastery just Southeast of the Clocktower to get the key for the chest.
Probably filled with wizards' socks|Search the drawers in the lowest level of the Wizards' Tower South of Draynor. Just kill a wizard to get the key for the drawers.
Probably filled with books on magic|Search the bookcases on the lowest level of the Wizards' Tower South of Draynor Village, where Sedridor the wizard lives.
Read "How to breed scorpions." by O.W.Thathurt.|Staff enchanter Thormac's tower South of Seers' Village. Search the bookcase on the 2nd floor.
Search the upstairs drawers of a house in a village where pirates are known to have a good time.|House across from the bar in Brimhaven. Go outside and kill a pirate to get the key for the drawers.
Search the drawers on the first floor of a house overlooking Ardougne Market.|House to the North of Ardougne Market, right behind the North silk stall. Go up the ladder to find the chest of drawers.
Search the chest in the Duke of Lumbridge's bedroom.|Upstairs in Lumbridge Castle, Duke Horacio's bedroom.
Search the boxes in the goblin house near Lumbridge.|The house where all the goblins are, Northeast of Lumbridge, next to the fishing spots.
Search the crates near a cart in Varrock.|Outside on the Varrock Palace grounds, just East of the Palace's front door. East of the circular pathway.
Search the chests upstairs of shops in Port Sarim.|Port Sarim Food Shop, upstairs.
Search the tents in the Imperial Guard Camp in Burthorpe for some boxes.|South part of Burthorpe, the most Northwestern tent where the Imperial Guards are training. Search the boxes.
Search inside the drawers next to the spinning wheel in a building on the left side of the road walking to Hemenster.|Seers' Village, 2nd house to the South across the street from the bank. Spinning wheel and drawers are upstairs.
Search the crates in the Guard House of the Northern Gate of East Ardougne.|The Guard House is just inside the most Eastern North gate (there are three North gates), a little to the East.
Speak to the staff in Sinclair Mansion.|Speak to Louisa the maid in Sinclair Mansion, North of Camelot Castle.
"Shiver me timbers!"|Kill a pirate to get the key for the drawers.
